target_dataset,feature,source_mean,target_mean,source_std,target_std,psi,wasserstein_distance,kl_divergence_target_vs_source
NHANES,age,41.796617426764314,51.41073766914011,22.463329038374717,17.583841528670245,2.340726677491155,9.6141202423758,0.21616802999719414
NHANES,blood_pressure,,126.56884223337899,,20.031958607063828,,,
NHANES,bmi,27.321450253828232,29.73854212134439,6.767810626117469,7.409236143607538,0.4941484473145138,2.4179471273951774,0.12860110604008507
NHANES,diabetes_pedigree,,,,,,,
NHANES,glucose,138.21800099866843,114.41379310344827,40.911189692828266,37.95344035782171,2.180285336649356,27.04168589814192,5.011679186907307
NHANES,hba1c,5.5326325316244995,5.8838498472282845,1.0732248179639028,1.129988685715944,1.8646069291900722,0.5697872568678979,1.1156421679686175
NHANES,heart_disease,0.040810169773635156,,0.19785122449774162,,,,
NHANES,hypertension,0.07761526298268975,0.4500228206298494,0.26756658739563577,0.4976095821853052,0.8470856172140004,0.3724075576471596,0.5065451973952662
NHANES,insulin,,,,,,,
NHANES,pregnancies,,,,,,,
Pima,age,41.796617426764314,33.240885416666664,22.463329038374717,11.760231540678685,4.270750278615098,13.542314344762538,0.8147903178436632
Pima,blood_pressure,,72.40518417462484,,12.38215821010526,,,
Pima,bmi,27.321450253828232,32.457463672391015,6.767810626117469,6.924988332105903,1.0020471500782473,5.141989258295192,0.34863747707174225
Pima,diabetes_pedigree,,0.47187630208333325,,0.3313285950127749,,,
Pima,glucose,138.21800099866843,121.6867627785059,40.911189692828266,30.53564107280403,2.0072452354969643,17.457303815532985,3.599439839647158
Pima,hba1c,5.5326325316244995,,1.0732248179639028,,,,
Pima,heart_disease,0.040810169773635156,,0.19785122449774162,,,,
Pima,hypertension,0.07761526298268975,0.27967257844474763,0.26756658739563577,0.4491447875570349,0.3089682700945008,0.20205731546205785,0.18039414078536947
Pima,insulin,,155.5482233502538,,118.77585518724518,,,
Pima,pregnancies,,3.8450520833333335,,3.3695780626988694,,,
