target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp,change_from_internal_auc,change_from_naive_auc,marginal_coverage,average_prediction_set_size,mean_psi,reliability_gap,performance_component,calibration_component,uncertainty_component,distribution_shift_component,fairness_component,transport_reliability_score
NHANES,model_c_extended_transport,Random Forest,adaptive_calibration,isotonic,1146,0.9241090157744588,0.7291644660915568,0.9040139616055847,0.8709677419354839,0.5346534653465347,0.9830508474576272,0.6625766871165644,0.07332662827285649,0.2708583456450915,0.017999162415020527,0.23809523809523808,0.8637255903444988,0.009538955729480448,928,16,94,108,-0.04994568761810825,-0.0004772193321026519,0.9040139616055847,1.0,1.5453706015718196,0.21542730299667034,0.9241090157744588,0.9820008375849795,0.9955400426604615,0.0,0.7845726970033297,0.7372445186046459
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,1146,0.922842549085417,0.7272523972588517,0.9057591623036649,0.873015873015873,0.5445544554455446,0.9830508474576272,0.6707317073170732,0.07278207843323801,0.26756537953723314,0.016693413525971833,0.5,0.8854610854667849,0.056313526416384596,928,16,92,110,-0.051244006711115286,-0.004001300553784337,0.9048865619546248,0.9991273996509599,1.5453706015718196,0.2177580466148723,0.922842549085417,0.9833065864740281,0.9945704867170836,0.0,0.7822419533851277,0.7365923151323313
NHANES,model_c_extended_transport,Logistic Regression,adaptive_calibration,isotonic,1146,0.9386170078872293,0.7781389832471306,0.9092495636998255,0.810126582278481,0.6336633663366337,0.9682203389830508,0.7111111111111111,0.0669782767870698,0.24434694528438147,0.01855868788717332,0.18874995515202286,0.8760572888200333,-0.031990937308239764,914,30,74,128,-0.020952049604509915,-0.003996056385299651,0.9109947643979057,1.0026178010471205,1.5453706015718196,0.24545454545454543,0.9386170078872293,0.9814413121128267,0.9877835951134382,0.0,0.7545454545454546,0.7324774739317897
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,1146,0.9386170078872293,0.7781389832471306,0.9092495636998255,0.810126582278481,0.6336633663366337,0.9682203389830508,0.7111111111111111,0.06697827678706979,0.24434694528438144,0.018558687887173263,0.18874995515202286,0.8760572888200334,-0.031990937308240944,914,30,74,128,-0.020952049604509915,-0.003996056385299651,0.9109947643979057,1.0026178010471205,1.5453706015718196,0.24545454545454543,0.9386170078872293,0.9814413121128267,0.9877835951134382,0.0,0.7545454545454546,0.7324774739317897
NHANES,model_c_extended_transport,LightGBM,adaptive_calibration,isotonic,1146,0.9230392054035912,0.7340461927448769,0.9075043630017452,0.8636363636363636,0.5643564356435643,0.9809322033898306,0.6826347305389222,0.07180309339281345,0.25881485071679455,0.015208174421151174,0.4586709078899496,0.9117371235995572,0.04966658436534098,926,18,88,114,-0.05242151086178681,0.00025172008726292994,0.9066317626527051,0.9991273996509599,1.5453706015718196,0.23957219251336898,0.9230392054035912,0.9847918255788488,0.9926313748303277,0.0,0.7604278074866311,0.7321780426598797
NHANES,model_b_routine_clinical,LightGBM,adaptive_calibration,isotonic,1146,0.9230392054035912,0.7340461927448769,0.9075043630017452,0.8636363636363636,0.5643564356435643,0.9809322033898306,0.6826347305389222,0.07180309339281345,0.25881485071679455,0.015208174421151174,0.4586709078899496,0.9117371235995572,0.04966658436534098,926,18,88,114,-0.05242151086178681,0.00025172008726292994,0.9066317626527051,0.9991273996509599,1.5453706015718196,0.23957219251336898,0.9230392054035912,0.9847918255788488,0.9926313748303277,0.0,0.7604278074866311,0.7321780426598797
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,1146,0.9268438496392013,0.7507084066629477,0.8699825479930192,0.6015325670498084,0.7772277227722773,0.8898305084745762,0.6781857451403888,0.08815358036172116,0.2924880625228543,0.07734489287187239,0.5407274847514392,0.8650136306451318,-1.043207223416312,840,104,45,157,-0.04724270615733095,0.0,0.8699825479930192,0.9991273996509599,1.5453706015718196,0.19696969696969702,0.9268438496392013,0.9226551071281276,0.9666472755477991,0.0,0.803030303030303,0.7238353070690862
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,1146,0.9268438496392013,0.7507084066629477,0.8699825479930192,0.6015325670498084,0.7772277227722773,0.8898305084745762,0.6781857451403888,0.08815358036172116,0.2924880625228543,0.07734489287187239,0.5407274847514392,0.8650136306451318,-1.043207223416312,840,104,45,157,-0.04724270615733095,0.0,0.8699825479930192,0.9991273996509599,1.5453706015718196,0.19696969696969702,0.9268438496392013,0.9226551071281276,0.9666472755477991,0.0,0.803030303030303,0.7238353070690862
NHANES,model_c_extended_transport,XGBoost,fixed_recalibration,temperature,1146,0.9247435601611009,0.7689529490145891,0.9101221640488656,0.8666666666666667,0.5792079207920792,0.9809322033898306,0.6943620178041543,0.07082494136009411,0.24915434263248692,0.01903259161838016,0.4823662171740475,1.0584611253005145,0.2130924241865624,926,18,85,117,-0.05195754993049406,0.0,0.849912739965096,0.9048865619546248,1.5453706015718196,0.251336898395722,0.9247435601611009,0.9809674083816199,0.9443474888501067,0.0,0.748663101604278,0.7197443117994211
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,1146,0.9259497189125692,0.7673777115417574,0.9075043630017452,0.8529411764705882,0.5742574257425742,0.9788135593220338,0.6863905325443787,0.07076177552274085,0.2489347214067374,0.020035498811727084,0.30289873316008,1.0515823438410914,0.20286264702247028,924,20,86,116,-0.05092599078724458,0.0,0.8455497382198953,0.9022687609075044,1.5453706015718196,0.251336898395722,0.9259497189125692,0.9799645011882729,0.939499709133217,0.0,0.748663101604278,0.7188154061676675
NHANES,model_c_extended_transport,Random Forest,naive_transfer,uncalibrated,1146,0.9245862351065615,0.7529586166521371,0.8691099476439791,0.5962962962962963,0.7970297029702971,0.8845338983050848,0.6822033898305084,0.08785591694546867,0.2931931365947634,0.07659718299480937,0.5653150017340922,0.8353926062831682,-1.0576468387428142,835,109,41,161,-0.049468468286005596,0.0,0.868237347294939,0.9956369982547993,1.5453706015718196,0.22077922077922074,0.9245862351065615,0.9234028170051907,0.9647081636610433,0.0,0.7792207792207793,0.7183835989987148
NHANES,model_c_extended_transport,Random Forest,fixed_recalibration,uncalibrated,1146,0.9245862351065615,0.7529586166521371,0.8691099476439791,0.5962962962962963,0.7970297029702971,0.8845338983050848,0.6822033898305084,0.08785591694546867,0.2931931365947634,0.07659718299480937,0.5653150017340922,0.8353926062831682,-1.0576468387428142,835,109,41,161,-0.049468468286005596,0.0,0.868237347294939,0.9956369982547993,1.5453706015718196,0.22077922077922074,0.9245862351065615,0.9234028170051907,0.9647081636610433,0.0,0.7792207792207793,0.7183835989987148
NHANES,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,1146,0.9259497189125692,0.7673777115417574,0.9075043630017452,0.8529411764705882,0.5742574257425742,0.9788135593220338,0.6863905325443787,0.08254025131464005,0.5924475307696954,0.0803448812584869,0.39006179571151733,0.2892450578481147,0.20291243897284802,924,20,86,116,-0.05092599078724458,0.0,0.8909249563699826,0.962478184991274,1.5453706015718196,0.251336898395722,0.9259497189125692,0.9196551187415131,0.9899166181888696,0.0,0.748663101604278,0.716836911489446
NHANES,model_c_extended_transport,XGBoost,naive_transfer,uncalibrated,1146,0.9247435601611009,0.7689529490145891,0.9101221640488656,0.8666666666666667,0.5792079207920792,0.9809322033898306,0.6943620178041543,0.08256228268146515,0.5864454191401888,0.08342600671589454,0.45206700563430785,0.2930444976607753,0.21344588247048113,926,18,85,117,-0.05195754993049406,0.0,0.8909249563699826,0.962478184991274,1.5453706015718196,0.251336898395722,0.9247435601611009,0.9165739932841055,0.9899166181888696,0.0,0.748663101604278,0.7159794546476708
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,1146,0.942613064272529,0.8064458114494495,0.8926701570680629,0.6513409961685823,0.8415841584158416,0.9036016949152542,0.734341252699784,0.082110200728066,0.30936409353119937,0.09417287787505692,0.3861581568062158,0.6852020111050484,-1.3738316493596145,853,91,32,170,-0.016955993219210264,0.0,0.9066317626527051,1.0261780104712042,1.5453706015718196,0.26363636363636367,0.942613064272529,0.9058271221249431,0.9926313748303277,0.0,0.7363636363636363,0.7154870395182872
NHANES,model_c_extended_transport,Logistic Regression,fixed_recalibration,uncalibrated,1146,0.942613064272529,0.8064458114494495,0.8926701570680629,0.6513409961685823,0.8415841584158416,0.9036016949152542,0.734341252699784,0.08211020072806595,0.3093640935311992,0.09417287787505677,0.38615815680621546,0.6852020111050483,-1.3738316493596134,853,91,32,170,-0.016955993219210264,0.0,0.9066317626527051,1.0261780104712042,1.5453706015718196,0.26363636363636367,0.942613064272529,0.9058271221249432,0.9926313748303277,0.0,0.7363636363636363,0.7154870395182872
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,1146,0.942613064272529,0.8080725293597327,0.8926701570680629,0.6513409961685823,0.8415841584158416,0.9036016949152542,0.734341252699784,0.0821102024215395,0.30936409353119937,0.09417289046501996,0.3861581568062158,0.6852020111049754,-1.3738316493596059,853,91,32,170,-0.016955993219210264,0.0,0.9066317626527051,1.0261780104712042,1.5453706015718196,0.26363636363636367,0.942613064272529,0.90582710953498,0.9926313748303277,0.0,0.7363636363636363,0.7154870370002946
NHANES,model_c_extended_transport,Logistic Regression,naive_transfer,uncalibrated,1146,0.942613064272529,0.8080725293597327,0.8926701570680629,0.6513409961685823,0.8415841584158416,0.9036016949152542,0.734341252699784,0.08211020242153946,0.3093640935311992,0.09417289046501981,0.38615815680621546,0.6852020111049753,-1.373831649359605,853,91,32,170,-0.016955993219210264,0.0,0.9066317626527051,1.0261780104712042,1.5453706015718196,0.26363636363636367,0.942613064272529,0.9058271095349801,0.9926313748303277,0.0,0.7363636363636363,0.7154870370002946
NHANES,model_c_extended_transport,LightGBM,fixed_recalibration,temperature,1146,0.9227874853163283,0.7563571791883226,0.8891797556719022,0.6637554585152838,0.7524752475247525,0.9184322033898306,0.7053364269141531,0.07571284602437856,0.2633675395585606,0.04571459957432881,0.18351639297439182,0.9107962586408189,-0.6810597316855966,867,77,50,152,-0.05267323094904974,0.0,0.8525305410122164,0.9223385689354275,1.5453706015718196,0.29166666666666674,0.9227874853163283,0.9542854004256712,0.9472561566802404,0.0,0.7083333333333333,0.7065324751511145
