target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
Pima,model_b_routine_clinical,CatBoost,label_shift_adjusted,label_shift,384,0.7861492537313434,0.5900962274165857,0.6692708333333334,0.5853658536585366,0.1791044776119403,0.932,0.2742857142857143,0.2228735091451101,0.7289287815955294,0.18629324608894288,0.49112644867171,0.48078600987345177,0.6189069900899712,233,17,110,24
Pima,model_b_routine_clinical,CatBoost,fixed_recalibration_source_selected,temperature,384,0.7861492537313434,0.5900962274165857,0.6536458333333334,1.0,0.007462686567164179,1.0,0.014814814814814815,0.19530030945075225,0.5680003696016039,0.13699150283370812,0.49811973431237555,2.5160876130127283,1.440057447720006,250,0,133,1
Pima,model_b_routine_clinical,CatBoost,adaptive_calibration_target_selected,platt,384,0.7861492537313434,0.5900962274165857,0.734375,0.625,0.5970149253731343,0.808,0.6106870229007634,0.17638413135057696,0.5230942840833167,0.06290256220975263,0.20323805751543303,1.1366292581177604,-0.03628567797839461,202,48,54,80
NHANES,model_c_extended_transport,Logistic Regression,naive_transfer,uncalibrated,1146,0.9426130642725288,0.8081066218502062,0.8926701570680629,0.6513409961685823,0.8415841584158416,0.9036016949152542,0.734341252699784,0.08210903505043798,0.3094049932756402,0.09414380903900853,0.37045183933605635,0.6847173931457571,-1.3740483888670751,853,91,32,170
NHANES,model_c_extended_transport,Logistic Regression,label_shift_adjusted,label_shift,1146,0.9426130642725289,0.806479903939923,0.8429319371727748,0.5317919075144508,0.9108910891089109,0.8283898305084746,0.6715328467153284,0.11436279406962678,0.4101807058748183,0.1655270610418077,0.5145414722355831,0.6867963586168118,-1.9156587153796434,782,162,18,184
NHANES,model_c_extended_transport,Logistic Regression,fixed_recalibration_source_selected,beta,1146,0.9426130642725289,0.806479903939923,0.9092495636998255,0.8141025641025641,0.6287128712871287,0.9692796610169492,0.7094972067039106,0.06574636519779489,0.2235114340407211,0.02346704636906961,0.13252145201119903,1.083705431019301,0.1286976774586721,915,29,75,127
NHANES,model_c_extended_transport,Logistic Regression,adaptive_calibration_target_selected,isotonic,1146,0.9386170078872293,0.7781389832471306,0.9092495636998255,0.810126582278481,0.6336633663366337,0.9682203389830508,0.7111111111111111,0.06697051716693835,0.24432805450130443,0.01907140228597317,0.18881745983213738,0.8762042968699796,-0.031837161889526185,914,30,74,128
Pima,model_c_extended_transport,Logistic Regression,naive_transfer,uncalibrated,384,0.8059402985074628,0.6352730123266837,0.7213541666666666,0.6483516483516484,0.44029850746268656,0.872,0.5244444444444445,0.18131046338373977,0.5345716147682485,0.0971600344843391,0.3613093573672378,0.7512993327663325,0.20059992470141502,218,32,75,59
Pima,model_c_extended_transport,Logistic Regression,label_shift_adjusted,label_shift,384,0.8059402985074628,0.6352730123266837,0.71875,0.5607476635514018,0.8955223880597015,0.624,0.6896551724137931,0.21250332791107732,0.6494703470897076,0.2011584576905171,0.39298832527540833,0.7513310230659771,-1.085395133467635,156,94,14,120
Pima,model_c_extended_transport,Logistic Regression,fixed_recalibration_source_selected,beta,384,0.8059402985074628,0.6352730123266837,0.7369791666666666,0.632,0.5895522388059702,0.816,0.61003861003861,0.17171943105091428,0.507573474314916,0.04026145538341377,0.18383555589678313,0.9019038335531163,-0.11482405131313213,204,46,55,79
Pima,model_c_extended_transport,Logistic Regression,adaptive_calibration_target_selected,platt,384,0.8059402985074628,0.6352730123266837,0.7369791666666666,0.6434782608695652,0.5522388059701493,0.836,0.5943775100401606,0.17340175871558186,0.5150466702657844,0.06314012486105987,0.3054999384291087,0.8686971722136974,-0.13208370851936868,209,41,60,74
NHANES,model_c_extended_transport,Random Forest,naive_transfer,uncalibrated,1146,0.9245862351065615,0.7529586166521371,0.8691099476439791,0.5962962962962963,0.7970297029702971,0.8845338983050848,0.6822033898305084,0.08785591694546867,0.2931931365947634,0.07659718299480937,0.5653150017340922,0.8353926062831682,-1.0576468387428142,835,109,41,161
NHANES,model_c_extended_transport,Random Forest,label_shift_adjusted,label_shift,1146,0.9245862351065615,0.7529586166521371,0.8638743455497382,0.5787671232876712,0.8366336633663366,0.8697033898305084,0.6842105263157895,0.1116802646109109,0.380734027573069,0.1491896192974036,0.42447597208045584,0.8353197768152018,-1.7174953247011255,821,123,33,169
NHANES,model_c_extended_transport,Random Forest,fixed_recalibration_source_selected,isotonic,1146,0.9241090157744588,0.7291644660915568,0.9040139616055847,0.8709677419354839,0.5346534653465347,0.9830508474576272,0.6625766871165644,0.07332662827285649,0.2708583456450915,0.017999162415020527,0.23809523809523808,0.8637255903444988,0.009538955729480448,928,16,94,108
NHANES,model_c_extended_transport,Random Forest,adaptive_calibration_target_selected,isotonic,1146,0.9241090157744588,0.7291644660915568,0.9040139616055847,0.8709677419354839,0.5346534653465347,0.9830508474576272,0.6625766871165644,0.07332662827285649,0.2708583456450915,0.017999162415020527,0.23809523809523808,0.8637255903444988,0.009538955729480448,928,16,94,108
Pima,model_c_extended_transport,Random Forest,naive_transfer,uncalibrated,384,0.7980298507462686,0.6069844019854415,0.6927083333333334,0.6481481481481481,0.26119402985074625,0.924,0.3723404255319149,0.19346233489623818,0.5606878556066887,0.12488168558683964,0.2442801679782623,0.9243626821449471,0.5755058491063271,231,19,99,35
Pima,model_c_extended_transport,Random Forest,label_shift_adjusted,label_shift,384,0.7980298507462686,0.6069844019854415,0.71875,0.5670103092783505,0.8208955223880597,0.664,0.6707317073170732,0.20687127464717184,0.6225794687836156,0.1883470710074359,0.34173413294817434,0.924127949407293,-1.0068423791051946,166,84,24,110
Pima,model_c_extended_transport,Random Forest,fixed_recalibration_source_selected,isotonic,384,0.7868358208955224,0.5778090733856573,0.7213541666666666,0.608,0.5671641791044776,0.804,0.5868725868725869,0.17936278030843544,0.5530964336716795,0.03897041668812051,0.33333233333333334,0.7521542938305805,-0.13105846955893924,201,49,58,76
