target_dataset,feature_set,conformal_method,mean_coverage,mean_set_size,mean_referral_rate,mean_clinical_cost,mean_class_0_coverage,mean_class_1_coverage,mean_class_gap,mean_source_weight,source_calibration_n,target_calibration_n,source_diabetes_prevalence,target_diabetes_prevalence,prevalence_gap,mean_psi,domain_classifier_auc,shift_aware_source_weight,source_trust_formula
NHANES,model_a_screening,dp_shift_atcp,0.8650523560209423,1.412521815008726,0.41252181500872603,1.0086823734729493,0.8509533898305085,0.930940594059406,0.07998720422889746,0.0004756427040720772,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.2273202473398896,1.0,0.0004756427040720772,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_a_screening,multi_objective_dp_shift_atcp,0.8790575916230366,1.38804537521815,0.3880453752181501,1.0282722513089007,0.8930084745762711,0.8138613861386139,0.2125471975163618,0.0004756427040720772,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.2273202473398896,1.0,0.0004756427040720772,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_a_screening,safety_gated_shift_atcp,0.9080715532286213,1.3890924956369983,0.3890924956369982,1.1053664921465969,0.9597987288135593,0.6663366336633663,0.365846303910052,0.0004756427040720772,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.2273202473398896,1.0,0.0004756427040720772,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_a_screening,shift_aware_source_trust_atcp,0.9077225130890053,1.388307155322862,0.38830715532286214,1.1055410122164049,0.9597987288135593,0.6643564356435643,0.367826501929854,0.0004756427040720772,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.2273202473398896,1.0,0.0004756427040720772,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_b_routine_clinical,dp_shift_atcp,0.8979057591623036,1.1154013961605584,0.11540139616055847,0.40898778359511345,0.8991525423728813,0.8920792079207921,0.01752181574089614,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_b_routine_clinical,multi_objective_dp_shift_atcp,0.8985165794066317,1.094153577661431,0.09589877835951134,0.4053228621291448,0.911281779661017,0.8388613861386138,0.07914971052189965,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_b_routine_clinical,safety_gated_shift_atcp,0.9006108202443281,1.0155322862129146,0.041884816753926704,0.393630017452007,0.9519597457627118,0.6606435643564357,0.30228593304245677,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_b_routine_clinical,shift_aware_source_trust_atcp,0.90021815008726,1.0145287958115183,0.042888307155322866,0.393586387434555,0.9518008474576272,0.6591584158415842,0.3036121832522235,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_c_extended_transport,dp_shift_atcp,0.8926265270506109,1.131544502617801,0.13154450261780104,0.43817626527050607,0.8902012711864407,0.903960396039604,0.03726558566873637,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_c_extended_transport,multi_objective_dp_shift_atcp,0.8978621291448518,1.0691535776614312,0.08695462478184991,0.42299301919720766,0.926906779661017,0.7621287128712871,0.1680189629132405,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
