target_dataset,feature_set,model,selection_split,calibration_method,selection_n,selection_ece,selection_brier,selected
NHANES,model_b_routine_clinical,Logistic Regression,target_calibration_select,temperature,573,0.1168263545239419,0.08244004371954232,False
NHANES,model_b_routine_clinical,Logistic Regression,target_calibration_select,isotonic,573,0.0303264427334115,0.06348031638271077,True
NHANES,model_b_routine_clinical,Logistic Regression,target_calibration_select,beta,573,0.040257233675366336,0.06368441830757915,False
Pima,model_b_routine_clinical,Logistic Regression,target_calibration_select,uncalibrated,192,0.08258047400235788,0.142425013545152,False
Pima,model_b_routine_clinical,Logistic Regression,target_calibration_select,platt,192,0.08054971946760871,0.14169045734820354,True
Pima,model_b_routine_clinical,Logistic Regression,target_calibration_select,temperature,192,0.10138513072095043,0.14548081376106894,False
Pima,model_b_routine_clinical,Logistic Regression,target_calibration_select,isotonic,192,0.04918322923767608,0.14287803602579233,False
Pima,model_b_routine_clinical,Logistic Regression,target_calibration_select,beta,192,0.09158149355216344,0.146196452002176,False
NHANES,model_b_routine_clinical,Random Forest,target_calibration_select,uncalibrated,573,0.09493098080456694,0.09087598939257799,False
NHANES,model_b_routine_clinical,Random Forest,target_calibration_select,platt,573,0.033256533957421626,0.07248798419984469,False
NHANES,model_b_routine_clinical,Random Forest,target_calibration_select,temperature,573,0.10163821776489132,0.09061795459422682,False
NHANES,model_b_routine_clinical,Random Forest,target_calibration_select,isotonic,573,0.026330846328200017,0.07066520049184993,True
NHANES,model_b_routine_clinical,Random Forest,target_calibration_select,beta,573,0.02988381241948063,0.07241089475145616,False
Pima,model_b_routine_clinical,Random Forest,target_calibration_select,uncalibrated,192,0.09915738166466606,0.1833179220376098,False
Pima,model_b_routine_clinical,Random Forest,target_calibration_select,platt,192,0.055539564669605815,0.1730336327789709,True
Pima,model_b_routine_clinical,Random Forest,target_calibration_select,temperature,192,0.07904614644527005,0.17866999875890477,False
Pima,model_b_routine_clinical,Random Forest,target_calibration_select,isotonic,192,0.047528855820404114,0.17359450287033099,False
Pima,model_b_routine_clinical,Random Forest,target_calibration_select,beta,192,0.0710516896004408,0.17350313741100165,False
NHANES,model_b_routine_clinical,XGBoost,target_calibration_select,uncalibrated,573,0.07687680616036027,0.07741338065178609,False
NHANES,model_b_routine_clinical,XGBoost,target_calibration_select,platt,573,0.04974813775413887,0.06642230914127499,False
NHANES,model_b_routine_clinical,XGBoost,target_calibration_select,temperature,573,0.047797504884803776,0.06676118657095864,False
NHANES,model_b_routine_clinical,XGBoost,target_calibration_select,isotonic,573,0.03320192065467876,0.06522892681354492,False
NHANES,model_b_routine_clinical,XGBoost,target_calibration_select,beta,573,0.029358918509363997,0.06513780489111932,True
Pima,model_b_routine_clinical,XGBoost,target_calibration_select,uncalibrated,192,0.305409966367525,0.28690177070834694,False
Pima,model_b_routine_clinical,XGBoost,target_calibration_select,platt,192,0.12386288831855445,0.15987990903807925,False
Pima,model_b_routine_clinical,XGBoost,target_calibration_select,temperature,192,0.18271382107975165,0.18662024348397535,False
Pima,model_b_routine_clinical,XGBoost,target_calibration_select,isotonic,192,0.10550532907263803,0.16162637628951457,True
Pima,model_b_routine_clinical,XGBoost,target_calibration_select,beta,192,0.12290103211581631,0.16002451711065493,False
