target_dataset,conformal_method,mean_coverage,mean_set_size,mean_referral_rate,mean_clinical_cost,mean_class_0_coverage,mean_class_1_coverage,mean_class_gap,mean_source_weight,fallback_rate,mean_diabetes_prevalence_in_referred,mean_confidence_referred,mean_confidence_non_referred,mean_non_referred_error_rate
NHANES,adaptive_transport_conformal,0.8467568353694008,1.0222803955788249,0.10590459569517162,0.6158958696916812,0.9128001412429378,0.5381188118811882,0.4293245161380545,1.0,0.0,0.39359582244653984,0.6030280085735217,0.9097271925921044,0.1444857502768059
NHANES,class_conditional_weighted_atcp,0.9116346713205351,1.2577661431064573,0.25776614310645724,0.6678301337987201,0.9121292372881357,0.9093234323432343,0.03184486351177489,0.002,0.0,0.17553916781101603,0.8165711253548004,0.9018971154509899,0.12575322823699878
NHANES,dp_shift_atcp,0.8851948807446189,1.2198225712623618,0.21982257126236185,0.6186154741128563,0.8801024011299435,0.9089933993399341,0.04492486854617666,0.0003264026725340298,0.0,0.15575232096606767,0.8295009623082507,0.8937246079720513,0.15592532347242105
NHANES,importance_weighted_source_conformal,0.847454915648633,1.0239965095986039,0.10712623618382781,0.618280977312391,0.9135240112994351,0.5386963696369638,0.4282702634670247,,,0.39207927464522185,0.603154815189671,0.9100503406131217,0.14423307842043584
NHANES,multi_objective_dp_shift_atcp,0.8918121000581734,1.183784176847004,0.1902995927865038,0.6188627108784177,0.910399011299435,0.804950495049505,0.15323862365050064,0.0003264026725340298,0.3333333333333333,0.2391682833556337,0.7595946388525563,0.9022704751353433,0.14403723770290144
NHANES,multi_objective_safety_gated_atcp,0.9027923211169284,1.140154159394997,0.15696625945317047,0.6298720186154741,0.9540254237288136,0.6633663366336633,0.3235242909884209,0.0036666666666666666,0.2833333333333333,0.3959925128376095,0.6179230866679266,0.9194556053672176,0.13215851604670775
NHANES,risk_asymmetric_shift_atcp,0.898327515997673,1.285936591041303,0.2859365910413031,0.7156050029086678,0.8893361581920904,0.9403465346534653,0.05180469318118251,0.0003264026725340298,0.0,0.15704481365529682,0.8442973593940892,0.8975879407808741,0.14963737983409015
NHANES,safety_gated_atcp,0.9025159976730657,1.1389616055846423,0.1557737056428156,0.6284031413612566,0.9538841807909605,0.6624587458745874,0.3241609330424568,0.002,0.06666666666666667,0.4074515504299707,0.6175965727096849,0.9191355250677747,0.13233403319816092
NHANES,safety_gated_shift_atcp,0.9030977312390925,1.140066899360093,0.1581588132635253,0.6318935427574172,0.9548552259887005,0.6612211221122112,0.3245334438104827,0.0003264026725340298,0.11666666666666667,0.41112458069757996,0.6195217053615838,0.9196816188223287,0.13122545919017034
NHANES,shift_aware_source_trust_atcp,0.9028504944735312,1.1394706224549156,0.15823152995927864,0.631937172774869,0.9548022598870056,0.6600660066006601,0.32563559322033897,0.0003264026725340298,0.0,0.41318415826712,0.6200887005612901,0.9197110015809291,0.13115132967098592
NHANES,source_split_conformal,0.8399941826643397,1.0106166375799883,0.11189645142524723,0.6220767888307156,0.905031779661017,0.536056105610561,0.4260199907702635,,,0.3893931497397908,0.610353967686118,0.9114761442549669,0.14226271423209452
NHANES,target_only_conformal,0.9041012216404886,1.1427137870855149,0.15871146015125073,0.633740546829552,0.9558262711864407,0.6623762376237624,0.32373755384012975,,,0.41181799058537366,0.6187883052005944,0.9196936395337719,0.13117426626840473
