target_dataset,feature_set,model,scenario,calibration_method,conformal_method,confidence_level,class_0_target_confidence,class_1_target_confidence,gate_validation_coverage,gate_validation_class_0_coverage,gate_validation_class_1_coverage,gate_validation_class_gap,gate_validation_set_size,gate_validation_clinical_cost,gate_validation_referral_rate,multi_objective_score,selected_source_weight,marginal_coverage,class_0_conditional_coverage,class_1_conditional_coverage,class_coverage_gap_abs,average_prediction_set_size,referral_rate,clinical_cost
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.8,0.75,0.8,0.8150087260034904,0.7966101694915254,0.900990099009901,0.1043799295183756,1.2617801047120418,0.7783595113438045,0.2617801047120419,1.6302173637365511,0.0004756427040720772,0.7591623036649214,0.7457627118644068,0.8217821782178217,0.07601946635341494,1.1675392670157068,0.16753926701570682,0.7015706806282722
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.8,0.75,0.8,0.8150087260034904,0.7966101694915254,0.900990099009901,0.1043799295183756,1.2617801047120418,0.7783595113438045,0.2617801047120419,1.6302173637365511,0.0004756427040720772,0.7591623036649214,0.7457627118644068,0.8217821782178217,0.07601946635341494,1.1675392670157068,0.16753926701570682,0.7015706806282722
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.85,0.7999999999999999,0.85,0.849912739965096,0.8220338983050848,0.9801980198019802,0.1581641214968954,1.4136125654450262,0.9912739965095986,0.41361256544502617,1.8642095330306834,0.0004756427040720772,0.7949389179755671,0.7817796610169492,0.8564356435643564,0.07465598254740724,1.2609075043630018,0.26090750436300175,0.8280977312390925
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.85,0.7999999999999999,0.85,0.849912739965096,0.8220338983050848,0.9801980198019802,0.1581641214968954,1.4136125654450262,0.9912739965095986,0.41361256544502617,1.8642095330306834,0.0004756427040720772,0.837696335078534,0.8040254237288136,0.995049504950495,0.19102408122168146,1.5977312390924956,0.5977312390924956,1.361256544502618
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.9,0.85,0.9,0.900523560209424,0.8834745762711864,0.9801980198019802,0.09672344353079376,1.5095986038394416,1.1326352530541013,0.5095986038394416,1.9216994759419146,0.0004756427040720772,0.8551483420593369,0.836864406779661,0.9405940594059405,0.10372965262627953,1.4144851657940662,0.4144851657940663,1.0157068062827226
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.9,0.85,0.9,0.900523560209424,0.8834745762711864,0.9801980198019802,0.09672344353079376,1.5095986038394416,1.1326352530541013,0.5095986038394416,1.9216994759419146,0.0004756427040720772,0.8551483420593369,0.836864406779661,0.9405940594059405,0.10372965262627953,1.4144851657940662,0.4144851657940663,1.0157068062827226
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.92,0.87,0.92,0.912739965095986,0.8961864406779662,0.9900990099009901,0.09391256922302393,1.568935427574171,1.2321116928446771,0.568935427574171,2.0483732168362816,0.0004756427040720772,0.8760907504363001,0.8591101694915254,0.9554455445544554,0.09633537506293,1.456369982547993,0.456369982547993,1.068062827225131
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.92,0.87,0.92,0.912739965095986,0.8961864406779662,0.9900990099009901,0.09391256922302393,1.568935427574171,1.2321116928446771,0.568935427574171,2.0483732168362816,0.0004756427040720772,0.9214659685863874,0.9046610169491526,1.0,0.09533898305084743,1.7818499127399652,0.7818499127399651,1.6422338568935428
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.95,0.9199999999999999,0.95,0.9598603839441536,0.951271186440678,1.0,0.048728813559322015,1.7347294938917976,1.5095986038394416,0.7347294938917975,2.2649780370929102,0.0004756427040720772,0.9293193717277487,0.9194915254237288,0.9752475247524752,0.05575599932874642,1.5863874345549738,0.5863874345549738,1.2609075043630018
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.95,0.9199999999999999,0.95,0.9598603839441536,0.951271186440678,1.0,0.048728813559322015,1.7347294938917976,1.5095986038394416,0.7347294938917975,2.2649780370929102,0.0004756427040720772,0.9293193717277487,0.9194915254237288,0.9752475247524752,0.05575599932874642,1.5863874345549738,0.5863874345549738,1.2609075043630018
NHANES,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,dp_shift_atcp,0.8,0.75,0.8,0.8150087260034904,0.7966101694915254,0.900990099009901,0.1043799295183756,1.2617801047120418,0.7783595113438045,0.2617801047120419,1.6302173637365511,0.0004756427040720772,0.7591623036649214,0.7457627118644068,0.8217821782178217,0.07601946635341494,1.1675392670157068,0.16753926701570682,0.7015706806282722
NHANES,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,multi_objective_dp_shift_atcp,0.8,0.75,0.8,0.8150087260034904,0.7966101694915254,0.900990099009901,0.1043799295183756,1.2617801047120418,0.7783595113438045,0.2617801047120419,1.6302173637365511,0.0004756427040720772,0.7591623036649214,0.7457627118644068,0.8217821782178217,0.07601946635341494,1.1675392670157068,0.16753926701570682,0.7015706806282722
NHANES,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,dp_shift_atcp,0.85,0.7999999999999999,0.85,0.849912739965096,0.8220338983050848,0.9801980198019802,0.1581641214968954,1.4136125654450262,0.9912739965095986,0.41361256544502617,1.8642095330306834,0.0004756427040720772,0.7949389179755671,0.7817796610169492,0.8564356435643564,0.07465598254740724,1.2609075043630018,0.26090750436300175,0.8280977312390925
