target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage,class_coverage_gap_abs,clinical_cost,single_label_rate,referral_rate,uncertain_set_rate,diabetes_prevalence_in_referred,mean_confidence_referred,mean_confidence_non_referred,non_referred_error_rate,selected_source_weight,source_weight_strategy,gate_validation_coverage,fallback_used,mean_psi,domain_classifier_auc,prevalence_gap,shift_formula_source_weight,gate_validation_set_size,class_0_target_confidence,class_1_target_confidence,gate_validation_class_0_coverage,gate_validation_class_1_coverage,gate_validation_class_gap,gate_validation_clinical_cost,gate_validation_referral_rate,multi_objective_score,safety_decision,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,source_split_conformal,1146,0.6369982547993019,-0.1630017452006981,1.1701570680628273,0.854586129753915,0.8298429319371727,0.0,0.5677966101694916,0.9603960396039604,0.3925994294344688,0.731239092495637,0.8298429319371727,0.17015706806282724,0.17015706806282724,0.13333333333333333,0.5436695954457318,0.7755037754392975,0.4374342797055731,,,,,,,,,,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,importance_weighted_source_conformal,1146,0.6465968586387435,-0.15340314136125655,1.1910994764397906,0.8395604395604395,0.8089005235602095,0.0,0.5783898305084746,0.9653465346534653,0.3869567041449907,0.7600349040139616,0.8089005235602095,0.19109947643979058,0.19109947643979058,0.1278538812785388,0.5490639523785715,0.7802315598530556,0.4368932038834951,,,,,,,,,,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,target_only_conformal,1146,0.7949389179755671,-0.005061082024432895,1.4973821989528795,0.6678321678321679,0.5026178010471204,0.0,0.753177966101695,0.9900990099009901,0.23692104379929513,1.206806282722513,0.5026178010471204,0.4973821989528796,0.4973821989528796,0.1280701754385965,0.6262843594551305,0.844683292821641,0.4079861111111111,,,,,,,,,,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,1146,0.6465968586387435,-0.15340314136125655,1.1910994764397906,0.8395604395604395,0.8089005235602095,0.0,0.5783898305084746,0.9653465346534653,0.3869567041449907,0.7600349040139616,0.8089005235602095,0.19109947643979058,0.19109947643979058,0.1278538812785388,0.5490639523785715,0.7802315598530556,0.4368932038834951,1.0,unweighted,,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,weighted_target_dominant_atcp,1146,0.7949389179755671,-0.005061082024432895,1.4973821989528795,0.6678321678321679,0.5026178010471204,0.0,0.753177966101695,0.9900990099009901,0.23692104379929513,1.206806282722513,0.5026178010471204,0.4973821989528796,0.4973821989528796,0.1280701754385965,0.6262843594551305,0.844683292821641,0.4079861111111111,0.0,grid_selected,0.8394415357766143,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,1.5828970331588132,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,shift_aware_source_trust_atcp,1146,0.7949389179755671,-0.005061082024432895,1.4965095986038395,0.6682215743440233,0.5034904013961605,0.0,0.753177966101695,0.9900990099009901,0.23692104379929513,1.2050610820244327,0.5034904013961605,0.4965095986038394,0.4965095986038394,0.1265377855887522,0.6260681366639802,0.8445180100396619,0.4072790294627383,0.0004756427040720772,shift_formula,,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,class_conditional_weighted_atcp,1146,0.7914485165794066,-0.00855148342059342,1.2216404886561956,0.8185714285714285,0.7783595113438045,0.0,0.784957627118644,0.8217821782178217,0.036824551099177705,0.7774869109947644,0.7783595113438045,0.22164048865619546,0.22164048865619546,0.23228346456692914,0.6953457173176452,0.7476478131793809,0.2679372197309417,0.0,grid_selected,0.8394415357766143,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,1.5828970331588132,,,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,risk_asymmetric_shift_atcp,1146,0.7757417102966842,-0.024258289703315894,1.2015706806282722,0.832244008714597,0.7984293193717278,0.0,0.763771186440678,0.8316831683168316,0.06791198187615366,0.7460732984293194,0.7984293193717278,0.20157068062827224,0.20157068062827224,0.20346320346320346,0.6796122083342732,0.7503051818901338,0.28087431693989073,0.0004756427040720772,shift_formula,,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,,0.78,0.8200000000000001,,,,,,,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,dp_shift_atcp,1146,0.7591623036649214,-0.04083769633507861,1.1675392670157068,0.8565022421524664,0.8324607329842932,0.0,0.7457627118644068,0.8217821782178217,0.07601946635341494,0.7015706806282722,0.8324607329842932,0.16753926701570682,0.16753926701570682,0.17708333333333334,0.6738638359098016,0.7485721227044105,0.2893081761006289,0.0004756427040720772,shift_formula,0.8150087260034904,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,1.2617801047120418,0.75,0.8,0.7966101694915254,0.900990099009901,0.1043799295183756,0.7783595113438045,0.2617801047120419,1.6302173637365511,,,,
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,safety_gated_atcp,1146,0.7949389179755671,-0.005061082024432895,1.4973821989528795,0.6678321678321679,0.5026178010471204,0.0,0.753177966101695,0.9900990099009901,0.23692104379929513,1.206806282722513,0.5026178010471204,0.4973821989528796,0.4973821989528796,0.1280701754385965,0.6262843594551305,0.844683292821641,0.4079861111111111,0.0,grid_selected,0.8394415357766143,False,1.2273202473398896,1.0,0.087311577306871,0.0004756427040720772,1.5828970331588132,,,,,,,,,weighted_atcp_accepted,,,
